scene_id,lr_product,hr_product,region,date,gsd,cloud_fraction,registration_rmse
scene_50,SYNTH_S2_SCENE_050,SYNTH_HR_REF_050,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_51,SYNTH_S2_SCENE_051,SYNTH_HR_REF_051,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_52,SYNTH_S2_SCENE_052,SYNTH_HR_REF_052,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_53,SYNTH_S2_SCENE_053,SYNTH_HR_REF_053,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_54,SYNTH_S2_SCENE_054,SYNTH_HR_REF_054,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_57,SYNTH_S2_SCENE_057,SYNTH_HR_REF_057,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_58,SYNTH_S2_SCENE_058,SYNTH_HR_REF_058,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_59,SYNTH_S2_SCENE_059,SYNTH_HR_REF_059,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_61,SYNTH_S2_SCENE_061,SYNTH_HR_REF_061,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_62,SYNTH_S2_SCENE_062,SYNTH_HR_REF_062,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_63,SYNTH_S2_SCENE_063,SYNTH_HR_REF_063,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_64,SYNTH_S2_SCENE_064,SYNTH_HR_REF_064,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_70,SYNTH_S2_SCENE_070,SYNTH_HR_REF_070,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_71,SYNTH_S2_SCENE_071,SYNTH_HR_REF_071,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_72,SYNTH_S2_SCENE_072,SYNTH_HR_REF_072,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_74,SYNTH_S2_SCENE_074,SYNTH_HR_REF_074,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_77,SYNTH_S2_SCENE_077,SYNTH_HR_REF_077,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_80,SYNTH_S2_SCENE_080,SYNTH_HR_REF_080,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_81,SYNTH_S2_SCENE_081,SYNTH_HR_REF_081,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_83,SYNTH_S2_SCENE_083,SYNTH_HR_REF_083,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_85,SYNTH_S2_SCENE_085,SYNTH_HR_REF_085,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_87,SYNTH_S2_SCENE_087,SYNTH_HR_REF_087,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_88,SYNTH_S2_SCENE_088,SYNTH_HR_REF_088,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_89,SYNTH_S2_SCENE_089,SYNTH_HR_REF_089,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_90,SYNTH_S2_SCENE_090,SYNTH_HR_REF_090,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_91,SYNTH_S2_SCENE_091,SYNTH_HR_REF_091,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_92,SYNTH_S2_SCENE_092,SYNTH_HR_REF_092,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_94,SYNTH_S2_SCENE_094,SYNTH_HR_REF_094,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_97,SYNTH_S2_SCENE_097,SYNTH_HR_REF_097,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_99,SYNTH_S2_SCENE_099,SYNTH_HR_REF_099,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_100,SYNTH_S2_SCENE_100,SYNTH_HR_REF_100,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_101,SYNTH_S2_SCENE_101,SYNTH_HR_REF_101,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_102,SYNTH_S2_SCENE_102,SYNTH_HR_REF_102,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_103,SYNTH_S2_SCENE_103,SYNTH_HR_REF_103,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_105,SYNTH_S2_SCENE_105,SYNTH_HR_REF_105,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_106,SYNTH_S2_SCENE_106,SYNTH_HR_REF_106,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_107,SYNTH_S2_SCENE_107,SYNTH_HR_REF_107,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_108,SYNTH_S2_SCENE_108,SYNTH_HR_REF_108,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_109,SYNTH_S2_SCENE_109,SYNTH_HR_REF_109,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_110,SYNTH_S2_SCENE_110,SYNTH_HR_REF_110,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_111,SYNTH_S2_SCENE_111,SYNTH_HR_REF_111,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_112,SYNTH_S2_SCENE_112,SYNTH_HR_REF_112,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_113,SYNTH_S2_SCENE_113,SYNTH_HR_REF_113,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_116,SYNTH_S2_SCENE_116,SYNTH_HR_REF_116,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_118,SYNTH_S2_SCENE_118,SYNTH_HR_REF_118,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_119,SYNTH_S2_SCENE_119,SYNTH_HR_REF_119,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_120,SYNTH_S2_SCENE_120,SYNTH_HR_REF_120,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_121,SYNTH_S2_SCENE_121,SYNTH_HR_REF_121,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_123,SYNTH_S2_SCENE_123,SYNTH_HR_REF_123,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_127,SYNTH_S2_SCENE_127,SYNTH_HR_REF_127,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_129,SYNTH_S2_SCENE_129,SYNTH_HR_REF_129,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_130,SYNTH_S2_SCENE_130,SYNTH_HR_REF_130,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_131,SYNTH_S2_SCENE_131,SYNTH_HR_REF_131,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_133,SYNTH_S2_SCENE_133,SYNTH_HR_REF_133,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_134,SYNTH_S2_SCENE_134,SYNTH_HR_REF_134,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_136,SYNTH_S2_SCENE_136,SYNTH_HR_REF_136,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_138,SYNTH_S2_SCENE_138,SYNTH_HR_REF_138,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_139,SYNTH_S2_SCENE_139,SYNTH_HR_REF_139,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_141,SYNTH_S2_SCENE_141,SYNTH_HR_REF_141,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_142,SYNTH_S2_SCENE_142,SYNTH_HR_REF_142,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_144,SYNTH_S2_SCENE_144,SYNTH_HR_REF_144,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_145,SYNTH_S2_SCENE_145,SYNTH_HR_REF_145,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_146,SYNTH_S2_SCENE_146,SYNTH_HR_REF_146,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_147,SYNTH_S2_SCENE_147,SYNTH_HR_REF_147,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_149,SYNTH_S2_SCENE_149,SYNTH_HR_REF_149,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_151,SYNTH_S2_SCENE_151,SYNTH_HR_REF_151,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_153,SYNTH_S2_SCENE_153,SYNTH_HR_REF_153,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_154,SYNTH_S2_SCENE_154,SYNTH_HR_REF_154,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_155,SYNTH_S2_SCENE_155,SYNTH_HR_REF_155,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_156,SYNTH_S2_SCENE_156,SYNTH_HR_REF_156,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_157,SYNTH_S2_SCENE_157,SYNTH_HR_REF_157,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_159,SYNTH_S2_SCENE_159,SYNTH_HR_REF_159,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_160,SYNTH_S2_SCENE_160,SYNTH_HR_REF_160,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_161,SYNTH_S2_SCENE_161,SYNTH_HR_REF_161,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_162,SYNTH_S2_SCENE_162,SYNTH_HR_REF_162,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_163,SYNTH_S2_SCENE_163,SYNTH_HR_REF_163,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_166,SYNTH_S2_SCENE_166,SYNTH_HR_REF_166,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_167,SYNTH_S2_SCENE_167,SYNTH_HR_REF_167,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_168,SYNTH_S2_SCENE_168,SYNTH_HR_REF_168,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_169,SYNTH_S2_SCENE_169,SYNTH_HR_REF_169,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_171,SYNTH_S2_SCENE_171,SYNTH_HR_REF_171,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_175,SYNTH_S2_SCENE_175,SYNTH_HR_REF_175,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_176,SYNTH_S2_SCENE_176,SYNTH_HR_REF_176,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_178,SYNTH_S2_SCENE_178,SYNTH_HR_REF_178,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_179,SYNTH_S2_SCENE_179,SYNTH_HR_REF_179,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_180,SYNTH_S2_SCENE_180,SYNTH_HR_REF_180,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_181,SYNTH_S2_SCENE_181,SYNTH_HR_REF_181,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_183,SYNTH_S2_SCENE_183,SYNTH_HR_REF_183,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_184,SYNTH_S2_SCENE_184,SYNTH_HR_REF_184,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_185,SYNTH_S2_SCENE_185,SYNTH_HR_REF_185,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_187,SYNTH_S2_SCENE_187,SYNTH_HR_REF_187,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_188,SYNTH_S2_SCENE_188,SYNTH_HR_REF_188,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_189,SYNTH_S2_SCENE_189,SYNTH_HR_REF_189,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_190,SYNTH_S2_SCENE_190,SYNTH_HR_REF_190,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_191,SYNTH_S2_SCENE_191,SYNTH_HR_REF_191,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_192,SYNTH_S2_SCENE_192,SYNTH_HR_REF_192,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_193,SYNTH_S2_SCENE_193,SYNTH_HR_REF_193,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_194,SYNTH_S2_SCENE_194,SYNTH_HR_REF_194,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_196,SYNTH_S2_SCENE_196,SYNTH_HR_REF_196,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_198,SYNTH_S2_SCENE_198,SYNTH_HR_REF_198,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_199,SYNTH_S2_SCENE_199,SYNTH_HR_REF_199,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
